word,etymonline,emeaning,cmeaning
obtrude,"from ob ""toward"" (see ob-) + trudere ""to thrust"" (see extrusion)",interlope / intrude / interfere,
obtuse,"from ob ""against"" (see ob-) + tundere ""to beat"" from PIE *(s)tud-e- ""to beat, strike, push, thrust"" from root *(s)teu- ""to push, stick, knock, beat"" // = dumb // F bright = nimble",absorb ideas readily 容易地,adj. 愚钝的
onset,from on + set (n.) // outset 开端,the beginning point,"n. 起始, 开始"
ostentatious,"ostensible 表面上的 [from ob ""in front of"" (see ob-) + tendere ""to stretch"" (see tenet)] // os = ob / pretend / ostensible / extenuate / extenuate / protentous // = pretentious => 向前伸展的 自命不凡的/凶兆的 = flamboyant // F austere = modest",conspicuous pretentious,adj. 炫耀卖弄的
outright,from out (adv.) + right (adj. (1)),downright / absolute / utter / unalloyed / unqualified,
overarching,from over- + arch (v.),main / predominant / principal / supreme,
overlap,,same area,v. (与…)部分重叠
override,// disregard (regard重视),set aside,v. 推翻
pedantic,"pedant: from pais (gen. paidos) ""child"" (see pedo-) + agogos ""leader,"" from agein ""to lead"" (see act (n.))",often ostenatious concern for book learning and formal rules / academic / bookish,
pejorative,"from PIE *ped-yos-, comparative of root *ped- ""to walk, stumble, impair"" (see peccadillo) // = contemptuous // F commendatory = laudatory 赞扬的","disparaging [des- ""away"" (see dis-) + parage ""rank, lineage"" (see peer (n.))]","adj. 轻蔑的, 贬低的"
pellucid,"from per- ""through"" (see per) + lucere ""to shine"" (see light (n.)) // = manifest // F cryptic = obscure",transparently clear,"adj. 清晰明确的, 易懂的"
perish,"from per- ""through, completely, to destruction"" (see per) + ire ""to go"" (see ion) ",cease 停止 to exist,"vi. 死亡, 消亡"
petulant,"prp. of petere ""rush at, seek"" (see petition 请愿, 恳求) ",easily irritated,"adj. 易怒的, 爱发脾气的"
phlegmatic,痰的 // = numb // F impassioned = vehement,"having a calm, sluggish temperament","adj. 冷静的, 无感情的, 淡漠的"
pithy,from pith (n.) 髓+ -y (2) // = brief // F circuitous = verbose,forceful and brief,"adj. 精练的, 简洁的"
placid,please / placate / peacefulness,free from agitation,"adj. 冷静的, 淡定的/风平浪静"
poise,"from L. pensare ""to weigh carefully,"" frequentative of pendere (pp. pensus) ""to weigh"" (see pendant)",balance / brace / prepare / get ready,
polymer,"from polys ""many"" (see poly-) + meros ""part"" (see merit (n.))",,聚合物
ponderous,"ponder [from pondus (gen. ponderis) ""weigh"" (see pound (n. 1))] / preponderant 占优势的 // = cumbersome // F gossamer = light",of great weight,adj. 沉重的
